700  [main] ERROR wdsr.exercise4.Main [] - Broker: localhost - Client: RAFZZ already connected from tcp://127.0.0.1:63761
774840 [main] INFO  wdsr.exercise4.Main [] - message 'test_202'
774841 [main] INFO  wdsr.exercise4.Main [] - message 'test_203'
774841 [main] INFO  wdsr.exercise4.Main [] - message 'test_204'
774841 [main] INFO  wdsr.exercise4.Main [] - message 'test_205'
774841 [main] INFO  wdsr.exercise4.Main [] - message 'test_206'
774841 [main] INFO  wdsr.exercise4.Main [] - message 'test_207'
774841 [main] INFO  wdsr.exercise4.Main [] - message 'test_208'
774841 [main] INFO  wdsr.exercise4.Main [] - message 'test_209'
774841 [main] INFO  wdsr.exercise4.Main [] - message 'test_210'
774841 [main] INFO  wdsr.exercise4.Main [] - message 'test_211'
774841 [main] INFO  wdsr.exercise4.Main [] - message 'test_212'
774841 [main] INFO  wdsr.exercise4.Main [] - message 'test_213'
774841 [main] INFO  wdsr.exercise4.Main [] - message 'test_214'
774842 [main] INFO  wdsr.exercise4.Main [] - message 'test_215'
774842 [main] INFO  wdsr.exercise4.Main [] - message 'test_216'
774842 [main] INFO  wdsr.exercise4.Main [] - message 'test_217'
774842 [main] INFO  wdsr.exercise4.Main [] - message 'test_218'
774842 [main] INFO  wdsr.exercise4.Main [] - message 'test_219'
774842 [main] INFO  wdsr.exercise4.Main [] - message 'test_220'
774842 [main] INFO  wdsr.exercise4.Main [] - message 'test_221'
774842 [main] INFO  wdsr.exercise4.Main [] - message 'test_222'
774842 [main] INFO  wdsr.exercise4.Main [] - message 'test_223'
774842 [main] INFO  wdsr.exercise4.Main [] - message 'test_224'
774842 [main] INFO  wdsr.exercise4.Main [] - message 'test_225'
774842 [main] INFO  wdsr.exercise4.Main [] - message 'test_226'
774843 [main] INFO  wdsr.exercise4.Main [] - message 'test_227'
774843 [main] INFO  wdsr.exercise4.Main [] - message 'test_228'
774843 [main] INFO  wdsr.exercise4.Main [] - message 'test_229'
774843 [main] INFO  wdsr.exercise4.Main [] - message 'test_230'
774843 [main] INFO  wdsr.exercise4.Main [] - message 'test_231'
774843 [main] INFO  wdsr.exercise4.Main [] - message 'test_232'
774843 [main] INFO  wdsr.exercise4.Main [] - message 'test_233'
774843 [main] INFO  wdsr.exercise4.Main [] - message 'test_234'
774843 [main] INFO  wdsr.exercise4.Main [] - message 'test_235'
774843 [main] INFO  wdsr.exercise4.Main [] - message 'test_236'
